id,ancestor_list,origin_time,score_AVE
4048,[3085],39,1.500000
4049,[3074],39,1.000000
4050,[3045],39,1.000000
4051,[3074],39,0.500000
4052,[3042],39,1.000000
4053,[3056],39,1.000000
4054,[3012],39,1.000000
4055,[3056],39,1.000000
4056,[3027],39,1.000000
4057,[3027],39,2.000000
4058,[3027],39,1.000000
4059,[3021],39,1.000000
4060,[3042],39,1.500000
4061,[3075],39,3.000000
4062,[3075],39,1.500000
4063,[3044],39,1.000000
4064,[3027],39,2.500000
4065,[3044],39,1.500000
4066,[3056],39,1.000000
4067,[3056],39,1.500000
4068,[3027],39,2.000000
4069,[3075],39,1.000000
4070,[3044],39,4.000000
4071,[3027],39,1.500000
4072,[3074],39,1.000000
4073,[3056],39,2.500000
4074,[3075],39,2.500000
4075,[3072],39,2.500000
4076,[3074],39,1.000000
4077,[3027],39,2.000000
4078,[3074],39,2.000000
4079,[3012],39,1.500000
4080,[3044],39,2.000000
4081,[3085],39,5.000000
4082,[3012],39,1.500000
4083,[3042],39,1.500000
4084,[3075],39,2.000000
4085,[3027],39,1.500000
4086,[3075],39,1.000000
4087,[3027],39,2.000000
4088,[3074],39,1.500000
4089,[3074],39,3.000000
4090,[3056],39,2.000000
4091,[3072],39,1.000000
4092,[3072],39,1.500000
4093,[3027],39,1.500000
4094,[3085],39,1.000000
4095,[3074],39,1.000000
4096,[3075],39,1.000000
4097,[3075],39,2.500000
4098,[3027],39,1.500000
4099,[3072],39,1.500000
4100,[3072],39,2.000000
5001,[4081],49,1.500000
5002,[4032],49,1.000000
5003,[4032],49,1.500000
5004,[4047],49,1.000000
5005,[4047],49,1.000000
5006,[4054],49,1.000000
5007,[4047],49,2.500000
5008,[4032],49,0.000000
5009,[4080],49,4.500000
5010,[4090],49,1.000000
5011,[4028],49,1.500000
5012,[4032],49,3.500000
5013,[4077],49,1.500000
5014,[4028],49,4.000000
5015,[4054],49,1.000000
5016,[4028],49,1.000000
5017,[4014],49,1.000000
5018,[4032],49,2.500000
5019,[4054],49,2.000000
5020,[4081],49,4.500000
5021,[4028],49,1.000000
5022,[4077],49,1.000000
5023,[4019],49,1.000000
5024,[4077],49,1.000000
5025,[4077],49,2.000000
5026,[4028],49,1.500000
5027,[4081],49,2.000000
5028,[4063],49,2.000000
5029,[4006],49,1.000000
5030,[4054],49,1.500000
5031,[4032],49,2.500000
5032,[4006],49,1.500000
5033,[4028],49,2.000000
5034,[4028],49,1.000000
5035,[4081],49,2.000000
5036,[4028],49,1.000000
5037,[4047],49,1.000000
5038,[4006],49,1.500000
5039,[4077],49,2.000000
5040,[4100],49,1.000000
5041,[4006],49,1.500000
5042,[4080],49,1.500000
5043,[4054],49,2.500000
5044,[4006],49,2.500000
5045,[4054],49,2.500000
5046,[4100],49,1.500000
5047,[4063],49,0.500000
5048,[4047],49,1.500000
5049,[4080],49,1.500000
5050,[4006],49,0.500000
